"ID","SalePrice"
1461,131069.266964222
1462,152252.52917457
1463,171371.741102554
1464,184748.059859564
1465,242790.89715687
1466,179618.180519843
1467,182495.85473616
1468,180900.592058239
1469,211761.700776008
1470,121069.984356446
1471,204584.624694634
1472,101329.230409275
1473,98558.1367577771
1474,161597.519150067
1475,154042.762865022
1476,357167.630640947
1477,285216.880356017
1478,330855.69268021
1479,292518.627830614
1480,426942.094212383
1481,310927.49562745
1482,234033.853582234
1483,181641.006011492
1484,205462.530291869
1485,177732.420138018
1486,203892.722984237
1487,293894.395745473
1488,272176.130961488
1489,214303.85175882
1490,189599.623587534
1491,195106.611819916
1492,124067.920730909
1493,176563.858038701
1494,284209.165855513
1495,291730.911479584
1496,206702.392160181
1497,196511.898396669
1498,167874.958464301
1499,167874.958464301
1500,175205.404214888
1501,180145.642623952
1502,169854.783126718
1503,294554.092649001
1504,224051.981497302
1505,208546.55596778
1506,203065.454225915
1507,179524.234711046
1508,181945.750419987
1509,152576.763739879
1510,144763.543264292
1511,144563.651925667
1512,172685.231187103
1513,165226.290647968
1514,150631.13009346
1515,190135.121331833
1516,159640.995629193
1517,147508.020595398
1518,160899.718166349
1519,207289.160800187
1520,134587.882894948
1521,138422.295175659
1522,167536.352672172
1523,110842.688261554
1524,136780.034436289
1525,130496.30842255
1526,121147.245673656
1527,121559.181758963
1528,127110.07864584
1529,146229.527335833
1530,175744.134813734
1531,112506.888775829
1532,107799.41057687
1533,148076.628570559
1534,127168.796047008
1535,130707.673904108
1536,128968.859635193
1537,88050.3959307176
1538,202672.311748348
1539,279247.990251308
1540,107300.850052571
1541,155972.980569993
1542,131504.031635715
1543,181141.18686033
1544,115447.794692587
1545,99581.8263762715
1546,141130.010276889
1547,129546.891046126
1548,128956.807923843
1549,111736.380572763
1550,128467.912677238
1551,125651.791115066
1552,109387.262245317
1553,110211.247780372
1554,118825.951245979
1555,147613.751221958
1556,86304.2005838775
1557,100511.498517703
1558,103442.615522426
1559,85921.7875450462
1560,139575.956410955
1561,140929.013040781
1562,127804.39912676
1563,111286.067319015
1564,153307.694189522
1565,126161.916549379
1566,215058.846913066
1567,91047.6681251944
1568,160191.679105108
1569,100732.617042797
1570,137789.308900602
1571,126416.179460455
1572,140037.959612994
1573,218731.30860596
1574,139038.255164184
1575,208594.781427283
1576,223257.93535123
1577,205472.297039972
1578,155824.604125725
1579,145323.834590996
1580,209595.690231784
1581,135860.548584022
1582,129709.71739787
1583,346764.071317858
1584,219788.715644373
1585,142962.779412849
1586,85102.057494438
1587,121736.141806169
1588,144844.638035717
1589,107139.738352425
1590,146514.838944779
1591,110453.095848273
